"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"18161",0.220150025653989,-1.26265778896713,0.44517451907328,-0.510192606067878,-0.334594326993912,-0.339337499316895,1.35063988745293,-0.421641589367913,0.103618829550342,-0.158599177571009,0.261160362480371,-0.28328870441826,-0.0563876757243614
"3.7.1.33",-0.441596462429779,1.39194245560448,0.48140885108831,0.447178219857932,0.236853341881571,-0.154766519971374,-1.51253972995332,-0.288817169611477,1.20946663342389,0.102497753614134,-0.0889033408560987,-0.36534696258956,-0.842092666712734
"3.7.1.38",-1.47895608240093,0.0290403501274703,-1.04485987678523,-0.438284594502865,-0.227170773851077,0.0962913778495038,0.462338753829858,-0.092951854693327,-0.233105670866876,0.151668377954239,0.193236873047736,-0.0277721400736922,0.123402349840409
"3.7.1.34",-0.571621070542293,-0.571475296879744,-1.24294292775169,0.32229483669937,-0.322438524233082,0.5327120504556,0.627193054499069,-1.38769473958293,0.191346116661961,-0.359991890459423,-0.459213370472825,-0.405867367145172,0.075290425201447
"3.7.1.36",-1.68582901742782,0.793762335194958,0.904187787393301,-0.737329728979303,0.85671136246571,0.62416582265294,-0.090839440904605,-1.08652077981407,-0.964778925915735,0.323513410503463,0.113272210375419,0.26378349317412,0.0734242813719927
"3.7.1.37",-2.30875634827429,-1.11960340961184,1.98076359881991,1.30018776401972,0.115000866629461,1.69434183571624,-0.0925418975117497,0.178676696162126,-0.232945393863495,1.28780748336854,-0.0543160088048152,0.328706993056848,0.317195366069339
"3.7.1.35",0.394879425477181,-0.221908910988075,0.239035310086179,0.261678912238035,0.651616557351335,1.18019658013268,0.631340579552152,-0.124162896424992,0.627537332624427,0.090226343685537,-0.0298734687933264,0.137839922116521,-0.305471879087133
"10038",-0.145459893585125,-1.02783211830211,0.503589247874553,-0.00436214225339108,0.0326281226467272,-0.57675269161417,-0.242991323507158,-0.210990954594075,-0.192295401324763,0.222157280620173,0.578371426513294,0.465617048826771,-0.295152394830265
"10039",0.531811562756454,-1.98508033592385,0.243373555267562,-0.69875295609634,-0.0237036695942196,0.214040256550519,-0.0986875810918805,0.523656246033783,-0.107037242036739,-0.229173167670809,0.222183361245196,-0.00582450195432438,0.395513250095807
"10040",0.43976036630652,-0.358996482974704,0.0714356672061601,0.236869395039974,0.481235690571287,0.662956511116188,-0.575386674607599,-0.628533415196165,0.120517676934525,0.177784092556311,0.263415578734695,0.309647884029264,-0.0017713556168825
"10042",-0.177134334441475,-0.410930544762868,-1.94235306450337,1.18596272433444,0.455758539385846,0.93258794363733,0.22881840563907,-0.508071534696015,0.664313816991914,-0.0459938499270552,0.30967070582543,-0.289730901695255,-0.30801586301386
"10041",-1.18266263543483,0.632581859227544,0.821292453349268,-1.54826234116043,-0.724176870671748,0.396454878830897,-0.534787702695787,-0.45748727021616,-0.370265793093255,-0.385568346884183,0.0190383777377046,-0.282505006535034,-0.0486663301154099
"2651",-1.51612429659334,-0.129857402255278,-0.611831604163323,-0.989206120663097,-0.100592136693566,0.020401956836158,-1.25328431828346,0.163247640073117,0.619583271533391,0.259218505692093,0.473828688530014,-0.0411081211856911,0.159214159242572
"2652",-0.680337531487684,-0.143567669652444,-1.3466469105575,0.0289005721363841,0.425757615526122,0.2335274453095,-0.726876116532937,0.241573005643412,0.254796561568569,0.440491716813824,0.600030191446357,-0.432806038329058,0.277991618002066
"2.4.6.25",2.09460946654512,1.95312332167383,1.59073380802497,1.69752155010899,-0.0608243927552055,-0.360655328491528,0.606342618934718,0.517175847138908,-0.37004219361997,0.91815309915381,0.444081759071424,-0.253342131363328,-0.11915443541802
"52353",-0.595865230738099,1.12849160430025,-0.421211411474312,0.192040623402138,0.81600303039195,-0.673813174501668,-0.942866712227624,0.0936456839670431,-0.193294502301005,0.769633530731082,-0.202133339248293,0.462706680990409,-0.796372573575611
