Museum,Voucher,Pooled sample,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT,GM
MZUSP,3748,Serra de Paranapiacaba,50.5,28.6,16.1,16.5,20.5,15.3,6.7,12.1,7.8,10.6,26.6,18.2,8.2,15.58569442
FMNH,47957,Serra de Paranapiacaba,49,28.6,16.3,17.3,21.4,15.3,6.7,12.3,7.8,11.1,26.2,17.6,8,15.6597493
MZUSP,3903,Serra do Mar,49.2,28.5,15.9,17.1,21.5,15,6.7,12.8,7.6,10.5,26.1,17,7.8,15.47227589
MZUSP,3902,Serra do Mar,48.1414671200288,27.3173952295592,15.6,17.3,21.1659235906934,14,6.9,12.6,7.2,10.2,25.8063123759016,17.5609272293217,7.43239470664195,15.17439776
MZUSP,27759,Serra do Mar,50.3,29.4,16.4,17.8,21.5,15.4,7.1,13,7.9,10.8,26.4,17.8,7.9,15.90811086
MZUSP,12828,Serra do Mar,48.8178665101728,28.7504988546857,16.1,17.2,21.2,14.8568342306496,6.7,12.7,7.4,10.8,25.8,17.6,7.5,15.4404196
MZUSP,20394,Serra do Mar,49.2,27.9,15.9,17.1,21.5,14.3,6.9,12.5,7.4,10.7,25.1,17.3,7.6,15.33162122
MZUSP,20395,Serra do Mar,49.0596727706989,29.7,16.7,17.5297987621406,21.3062326271269,15,7,12.8,7.6,10.9,25.9,17.1,7.6,15.65982564
MZUSP,20396,Serra do Mar,49.6,29.6,16.3,17.3,21.5,15.4,7.1,12.7,7.6,11.1,26,17.2,7.8,15.73916323
MZUSP,20397,Serra do Mar,49.7,29.2,16.1,17.1,21.4,15,6.3,12.8,7.8,11.3,25.7,17,7.9,15.56461496
MZUSP,10675,Serra do Mar,49.1,27.9,15.9,17.2,21.3,15.6,6.8,12.6,7.5,11,24,16.5894074028882,7.8,15.39677137
MZUSP,10676,Serra do Mar,50.5,28.4,16.4,17.6,21.5,15.8,6.6,12.8,7.7,11.3,26,17.4,7.9,15.75805664
MZUSP,12834,Serra do Mar,48.9,27.8,16.6,16.9,21.2,14.5,6.6,12.3,7.5,11,25.1165173834772,16.9,7.6,15.30711917
